0,0.0008,0.0007
0,0.0008,0.0009
0,0.0008,0.0011
0,0.0008,0.0013
0,0.0012,0.0007
0,0.0012,0.0009
0,0.0012,0.0011
0,0.0012,0.0013
0,0.0016,0.0007
0,0.0016,0.0009
0,0.0016,0.0011
0,0.0016,0.0013
0.0004,0.0008,0.0007
0.0004,0.0008,0.0009
0.0004,0.0008,0.0011
0.0004,0.0008,0.0013
0.0004,0.0012,0.0007
0.0004,0.0012,0.0009
0.0004,0.0012,0.0011
0.0004,0.0012,0.0013
0.0004,0.0016,0.0007
0.0004,0.0016,0.0009
0.0004,0.0016,0.0011
0.0004,0.0016,0.0013
0.0008,0.0008,0.0007
0.0008,0.0008,0.0009
0.0008,0.0008,0.0011
0.0008,0.0008,0.0013
0.0008,0.0012,0.0007
0.0008,0.0012,0.0009
0.0008,0.0012,0.0011
0.0008,0.0012,0.0013
0.0008,0.0016,0.0007
0.0008,0.0016,0.0009
0.0008,0.0016,0.0011
0.0008,0.0016,0.0013
0.0012,0.0008,0.0007
0.0012,0.0008,0.0009
0.0012,0.0008,0.0011
0.0012,0.0008,0.0013
0.0012,0.0012,0.0007
0.0012,0.0012,0.0009
0.0012,0.0012,0.0011
0.0012,0.0012,0.0013
0.0012,0.0016,0.0007
0.0012,0.0016,0.0009
0.0012,0.0016,0.0011
0.0012,0.0016,0.0013
0.0016,0.0008,0.0007
0.0016,0.0008,0.0009
0.0016,0.0008,0.0011
0.0016,0.0008,0.0013
0.0016,0.0012,0.0007
0.0016,0.0012,0.0009
0.0016,0.0012,0.0011
0.0016,0.0012,0.0013
0.0016,0.0016,0.0007
0.0016,0.0016,0.0009
0.0016,0.0016,0.0011
0.0016,0.0016,0.0013
0.002,0.0008,0.0007
0.002,0.0008,0.0009
0.002,0.0008,0.0011
0.002,0.0008,0.0013
0.002,0.0012,0.0007
0.002,0.0012,0.0009
0.002,0.0012,0.0011
0.002,0.0012,0.0013
0.002,0.0016,0.0007
0.002,0.0016,0.0009
0.002,0.0016,0.0011
0.002,0.0016,0.0013
0.0024,0.0008,0.0007
0.0024,0.0008,0.0009
0.0024,0.0008,0.0011
0.0024,0.0008,0.0013
0.0024,0.0012,0.0007
0.0024,0.0012,0.0009
0.0024,0.0012,0.0011
0.0024,0.0012,0.0013
0.0024,0.0016,0.0007
0.0024,0.0016,0.0009
0.0024,0.0016,0.0011
0.0024,0.0016,0.0013
0.0028,0.0008,0.0007
0.0028,0.0008,0.0009
0.0028,0.0008,0.0011
0.0028,0.0008,0.0013
0.0028,0.0012,0.0007
0.0028,0.0012,0.0009
0.0028,0.0012,0.0011
0.0028,0.0012,0.0013
0.0028,0.0016,0.0007
0.0028,0.0016,0.0009
0.0028,0.0016,0.0011
0.0028,0.0016,0.0013
0.0032,0.0008,0.0007
0.0032,0.0008,0.0009
0.0032,0.0008,0.0011
0.0032,0.0008,0.0013
0.0032,0.0012,0.0007
0.0032,0.0012,0.0009
0.0032,0.0012,0.0011
0.0032,0.0012,0.0013
0.0032,0.0016,0.0007
0.0032,0.0016,0.0009
0.0032,0.0016,0.0011
0.0032,0.0016,0.0013
0.0036,0.0008,0.0007
0.0036,0.0008,0.0009
0.0036,0.0008,0.0011
0.0036,0.0008,0.0013
0.0036,0.0012,0.0007
0.0036,0.0012,0.0009
0.0036,0.0012,0.0011
0.0036,0.0012,0.0013
0.0036,0.0016,0.0007
0.0036,0.0016,0.0009
0.0036,0.0016,0.0011
0.0036,0.0016,0.0013
0.004,0.0008,0.0007
0.004,0.0008,0.0009
0.004,0.0008,0.0011
0.004,0.0008,0.0013
0.004,0.0012,0.0007
0.004,0.0012,0.0009
0.004,0.0012,0.0011
0.004,0.0012,0.0013
0.004,0.0016,0.0007
0.004,0.0016,0.0009
0.004,0.0016,0.0011
0.004,0.0016,0.0013
